Company,JobLink,Location,Pay_Max,Pay_Min,Posting_End_Date,Posting_Start_Date,Title
Customs and Border Protection,https://www.usajobs.gov/GetJob/ViewDetails/443086000,"['Baltimore, MD']",31521,31521,2016-12-27,2016-07-18,Pathways Internship Student Trainee (Paralegal)
Defense Contract Management Agency,https://www.usajobs.gov/GetJob/ViewDetails/447554000,"['Aberdeen, MD', 'Baltimore, MD']",84044,53435,2017-08-11,2016-08-12,Contract Administrator
Army National Guard Units (Title 32),https://www.usajobs.gov/GetJob/ViewDetails/450669400,"['Baltimore, MD']",100736,77490,2016-10-13,2016-09-15,SUPERVISORY ENVIRONMENTAL PROTECTION SPECIALIST
U.S. Coast Guard,https://www.usajobs.gov/GetJob/ViewDetails/450933100,"['Baltimore, MD']",119794,92145,2016-10-17,2016-09-19,"Naval Architect, GS-0871-13"
Centers for Medicare & Medicaid Services,https://www.usajobs.gov/GetJob/ViewDetails/451468600,"['Baltimore, MD']",100736,64650,2016-10-11,2016-09-27,Social Science Research Analyst
U.S. Coast Guard,https://www.usajobs.gov/GetJob/ViewDetails/451511700,"['Baltimore, MD']",119794,92145,2016-10-21,2016-09-23,"Electrical Engineer, GS-0850-13"
"Veterans Affairs, Veterans Health Administration",https://www.usajobs.gov/GetJob/ViewDetails/451717700,"['Baltimore, MD']",114183,57873,2016-10-11,2016-09-27,"RN, Oncology Baltimore, MD"
U.S. Coast Guard,https://www.usajobs.gov/GetJob/ViewDetails/451898600,"['Baltimore, MD']",29,25,2016-10-13,2016-09-29,"Machinist, WG-3414-11"
Assistant Secretary for Housing-Federal Housing Commissioner,https://www.usajobs.gov/GetJob/ViewDetails/451819900,"['Baltimore, MD']",119794,92145,2016-10-12,2016-09-28,Senior Account Executive
Defense Contract Management Agency,https://www.usajobs.gov/GetJob/ViewDetails/452316800,"['Baltimore, MD']",100736,64650,2016-10-17,2016-10-06,Contract Price/Cost Analyst
