Company,Date Posted,Job Category,Job link,Job_Description,Location,Title
Sutherland Global Services,1 day ago,Administrative and Clerical,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsrcHiIZNZaH8N9U8QwwiOk8UCLUOomZhyoJc4Ey5vSVI_Njh3kIGEIln93w-ha7D_ZcJNZC4XKzKC_Z2YxkSOwZdLe8iiSrQRV3Ga8ufL40yBEwXG7YpPyH2YSHDeJt57IUlJYjb9qpcLXItA1oKcNuCFkLhaOonVeoL7IcshucQbGBUlgSs6Z4D7Sjs3ogIGATYxVRGM4Gz3Uh519D4D2cGFbUdJfq7y7eAES5duvBls9OTK6UDyQan-mqBoNe9Vr3zLG6VhWckC7LgUF-VipBhuuVdOqKzPG-td6N3982O3Mv0f1tL4a1kVtgecBJVgZG7pi2O7ou7VbmN2zdFaJVYJ1s_Q3rs9dQ2x8G29kSSJ4sDaMJ8KPDZ7tXcie2hO8zsDGwQt7j0znYa1wZMQ&p=1&sk=&fvj=0,"
Entering information into the computer regarding prospective Petit and Grand Jurors and answering telephone inquiries about reporting procedures and...","Towson, MD","Administrative Staff Career Expo in Brantford, ON"
Payless Car & Truck Rental,17 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CjXn_wNndADXa5nK1seXcwGogdQRLCWlVZkNchSNozHI1eUwnm1OhKM0_8KJLsNE5tFtfiDtG46VSPRu-Ypt4QPHEi9dJrKEFy8JJMUEa0bD9Z68tfcrAA4W6w3mJSgqvGyZxDRKE5pHi4InTBV6RMboHkPIOzBH-pHf6IlqIdXYHfjlqihuuPSoKXTR2NAECeRhmZRxjZltIU0qTP4u_7mWx09yJRqiJUiCQ8B49A6vQRy7gtawemaGpOO8ISS4urLzLo3tzuPYwjRrmnbFIEBzmto23VsG1k2h-PYewRAhAOgeWYDKm22bWruT_qbJhiQxL_ZfgWJ_99ZvbKkRo7b9ioFVjUX9dr3ZZjq2cewZNAHlJqAL4mXbEzsC5rAcudh2MJmr8n6-ougHJlHP5eAG_IgCJE7OA85Nk5WSg9rpEpQBYCR7YzVai4SFpaviA=&p=2&sk=&fvj=1,"
The Data Entry Clerk will also be responsible for the registration and discharge for patients. The Data Entry Clerk is responsible for all data collection and...",,Airport Vehicle Rental Customer Service Agent
Catholic Charities of Baltimore,27 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUkK23IwUL4H9pGyl2MVZ2ZgQHcPN-8eYjmfI7iBIhwoyBpJuqUzZtzf_Ib2I8l7U2FTOizIvBrh0pwjPLC1Rx4oJqG-pAuTw7T1aNgpx7GhzrFk8jfPOMVaP_3qgENiji1MiMjDwcTUV3UgdAzxjQUZxx5ELtboefCVp11S7KHj1_6E5BCnTG9uPAEKZkJWwoyQM-VvZoa2RzRr8ceVvSYSEDQS27RClXnAqEnEctyuR_LYC-9pIx1Y0k1gwjWSmzLp8F5LgWd9GsF-KQdTf8lgb6eM6IIzoz7bz5JWFLk3LEPJzdObv2bmbJH5kqmGCabv-ZRoCIMDDJyqZVZHfuD0q07z4u1c_5jZcIAzfBx6yMdey1UmxzTWEA7S4IwaimMaj2LnaO4MBFj2AH1AwoAabCbjWJL54JQHC7WBLW2eF2vn5mTOOvKcMSyHHosQeqD4guq7Xp49GQZm_Ef55U4sfnHOwURAPV1J4rytAno6b0YcXEQtJsb4cfHp3z121a_xMli9YCYPGkunLueynvhcj6uDzT8JplJL4kPmgMAi0SLsh5tLLd8LSqT1uQ5Vo6WFnguWxZIO43YyjbnW4R&p=3&sk=&fvj=0,"
Must possess excellent interpersonal skills and have excellent telephone demeanor. Must possess the ability to make independent decisions when circumstances...",,Classroom Aide
"Baltimore County, MD",10 hours ago,Retail,http://www.indeed.com/rc/clk?jk=564b3555f11c5051&fccid=7d5b07be997ee885,"
Under general supervision the Fingerprinting/Scanning Clerk schedules, captures and submits fingerprints to Criminal Justice Information Services (CJIS) via...","Towson, MD",Jury Assistant - Non-Merit
Mercy Health Services,7 hours ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=f74991bb120102cc&fccid=33684882873c7442,"
Multi-line phone system, data entry, filing, customer service, etc. Baltimore, MD 21205....",,Data Entry Clerk
Mercy Health Services,7 hours ago,Retail,http://www.indeed.com/rc/clk?jk=96c4625cd8fc9a97&fccid=33684882873c7442,"
Blood tests for immunities to these diseases are ordinarily included in the pre-employment physical exam except for those employees who provide results of blood...","Baltimore, MD",Medical Records/Health Information Associate
Towson University,2 days ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=3ed1d08bf84cfe70&fccid=ba6c9124a07bb879,"
Required license or certification:. When you come in, the agency will create an electronic profile on your behalf to recommend you to this lovely family!...","Baltimore, MD",Fingerprinting/ Scanning Clerk
"A&B Flooring Systems, Inc.",21 hours ago,Administrative and Clerical,"http://www.indeed.com/cmp/A&B-Flooring-Systems,-Inc./jobs/Receptionist-6392c2732ebd17b7?r=1&fccid=8680bcdfeafac45a","
Answering Phones in a high volume call in environment. Making sure you answer patient concerns or questions to your best ability while maintain excellent...",,Receptionist
Johns Hopkins University,16 hours ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=6225301372321065&fccid=f34acbd24dd4fcb0,"
Must have a satisfactory driving record and valid driver's license. Make calls to clients for appointment confirmations and other calls as needed....","Gwynn Oak, MD 21207",Administrative Coordinator
ABC Nanny Source,12 hours ago,Retail,http://www.indeed.com/cmp/ABC-Nanny-Source/jobs/Nanny-59dcd2b3aa3ca156?r=1&fccid=d7076bc4288fe2c4,"
Greeting visitors with a smile and a warm welcome are essential for this role. Welcome all visitors and address any inquiries....",,Nanny (Full-time)
Mariner Finance,14 days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRXJaX_ETJGlwN1sk8fjXo5yVXRvSeounu7t0bSIDpPn_yrfAtXwaQpDqlLNTWRrX2v5dA_61GEYwJyuZi8YxHwzKtk79b3RXOR-4xY3mZADkGUz6mLGSAS2jpN4x0ksA4t8wBERDyBc6rpz_O0_IPEAh7bdWjdibTMUefj6eBIY1nI6AhoMA-KEjw5Tl714Cv4N9cgNWIC67pkR8Ui9Uf2XBTirrLiPsYcPmctpQLRepmZWISrTbE0iHbNbMc8Xxt2-UrWf9QRHL-pSiVglbvrA7hqe3Qjmny-LeMSAXuEAxLWJpaflaP6CldK-kwqw4BtXzf5Q0nWBanSVljOlxcGHBiMFR-Yr0ZIxirNnMvUoLY2HtdcogaOa3-yhrO-fEShpJTcYikdoikG2dnuucxpPyUZiQCBzh7fsA9iX38OSLvtRVbXvhvYiehnuQweL8DUaJ2HTqw3zpmIHWBFBSRRtajhCGmfXmvlb25IM0r2fBhxcITlYEx&p=1&sk=&fvj=0,"
Cover front desk daily. Quality control—the individual demonstrates accuracy and thoroughness and monitors own work to ensure quality....","Baltimore, MD",Customer Service Rep
James E Crawford Jr. & Associates Law Firm,16 hours ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAjqXIifIVTU8sLTJgjPY0BcbW2JBexVJWtQ7btnOmZ77t4641E-U1c73qfoCPtv8T-QcTnN9l72AObittbVoIlVaA3r_FqcHDys_6kjK4ACEO_-cVNo1BGhnGCQ3EDecSsKIuXU5AkgPY-OggonQ4oOvH0lSvoN7szqijYfB78GTOGb6H_cSq6AXKtIZi_c4HmCtzFaKPWcO5vR6xNz0XITlhjoX4IGdee6em6OOnFl7_ErRqnU6XNdLLTu653lFCTPuN0-FOdMZWQS_rS8rcmN0NDCnaL4RBbpwUYGiO36yaHE0gKZVw5DXnASe0tVG2ZubBgM1Qon9reIHTfqBx7aP_HA5qDVo2F08NqKK1F13w1Aoi9k9-rZy3p2CeRMLbEyCVdScF5uVw2qNYIszDjyUR-pkKDNo=&p=2&sk=&fvj=1,"
Required license or certification:. When you come in, the agency will create an electronic profile on your behalf to recommend you to this lovely family!...","Baltimore, MD",Billing Coordinator
Kennedy Krieger Institute,30+ days ago,Retail,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHa-OA7npPsoBv2iyfs07nVWmQtx3o7kB4AXeGpeQuxaMixI4e7kjLSp2kZpuw3Z93hcN3L85fRja7TbtHTWe9ASlGoJx0EnKRUsV-EoREPM3UXgLwnUCCQkwX-eXy8NNKmxbZt8QByY7SuLwALf-APzRpw2mxlAT2s_h7nQcufrjrgi3-fvUrXGRg_9tuzmoIRzqOIhRcb7Fz3iEgxX19wpJTzA19nMLcS4YJRL4cLaqN-WJk5UI-K71OzB-YauoK0hJp7Q5gAt8KHvq37kDJRw4xFa2Pka-TNhgbL11hW6s9dnQDJf_njAldzLn4bUhc8DzPIF_D8zigxEs_Yphy5SOkvBSW4_Ygd0mC6SCSEelvKlqdRuTzWevb7_R54BYKzhm6ZKV38NlXqADtlQnNXEgCT9pnjwYz8f8WAcZBelLZdPtuew1KKEGb2onA2LhQb38xKh-Q0kXzjMi8F1ox_LDV1pFYbbdHMFyPd0VpTSxdqUhcS5YdoTep_8C_6rUk5STZYp0Je1B7tfgpWIyumqHioQB3qbFmvqMbAphXND0CRoqxBAfVjdYFVk7iXDjn953vMaMU1GFaVfDqiCyvJBW7a0p380IENSXU4ZqmSw==&p=3&sk=&fvj=0,"
Greeting visitors with a smile and a warm welcome are essential for this role. Welcome all visitors and address any inquiries....",,PROGRAM AIDE (LEAP)
Cowan Systems and Cowan Management,1 day ago,Administrative and Clerical,http://www.indeed.com/rc/clk?jk=b978ded30d9044b1&fccid=4b93e901522c71f9,"
This position will respond to general emails, handle incoming phone calls, process all incoming mail and provide front-line service to prospective students...","Baltimore, MD",Human Resources Clerk
ABC Nanny Source,12 hours ago,Retail,http://www.indeed.com/cmp/ABC-Nanny-Source/jobs/Nanny-59dcd2b3aa3ca156?r=1&fccid=d7076bc4288fe2c4,"
Must have a satisfactory driving record and valid driver's license. Make calls to clients for appointment confirmations and other calls as needed....","Gwynn Oak, MD 21207",Nanny (Full-time)
Stratford University,7 days ago,Retail,http://www.indeed.com/rc/clk?jk=684d913a5ab97bf9&fccid=d3d9a5728775ec39,"
Develop a fast, fun and friendly team. Target merchandise discount. Quickly and accurately scan and bag all items and collect payment....","Baltimore, MD",Federal Work Study
Notre Dame of Maryland University,2 days ago,Retail,http://www.indeed.com/rc/clk?jk=8f55ff216dbf6082&fccid=90878dabd4c87b61,"
? Valid Drivers license and automobile insurance. 10% Develop and implement individual person-centered plans through comprehensive assessments with the...","Baltimore, MD",Admissions and Financial Aid Specialist
"Hope Health Systems, Inc.",16 hours ago,Administrative and Clerical,"http://www.indeed.com/cmp/Hope-Health-Systems,-Inc./jobs/Admin-Assistant-Receptionist-68a8cba6b69d3386?r=1&fccid=be8cea2e15f9bcc9","
Receive training and tools so you can be successful. The tasks consist of sanitizing, sweeping, dust mopping, damp mopping, dusting, organizing, and removing...","Towson, MD 21204",Admin Assistant/Receptionist
