Company,Date Posted,Job Category,Job_Description,Location,Title
"T-MOBILE USA, Inc.",10/14/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","York, PA",Retail Sales Associate
H.H. Gregg,10/14/2016,Retail,"Job Description     ESSENTIAL FUNCTION The basic function of the Shipping Lead position is to oversee the work of the associates responsible for shipping, pulling and preparing product for deliveries and transfers. Must exhibit regular on time attendance for all scheduled shifts. PRIMARY DUTIES AND  ...","Brandywine, MD",Warehouse Lead Shipping- 3rd Shift
GROWMARK FS,10/13/2016,Retail,AND SUMMARY STATEMENT The purpose for this position is to assist in daily operational duties at the facility. ESSENTIAL JOB FUNCTIONS Responsible for maintaining operations at retail supply location. Follows maintenance schedule of facility and equipment. Operates Front End Loader to load product on ...,"Codorus, PA",Loader Operator/Warehouse Laborer (PA/DE) - GROWMARK FS - Co...
"T-MOBILE USA, Inc.",10/13/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","Alexandria, VA",Retail Sales Associate - PT
"T-MOBILE USA, Inc.",10/13/2016,Retail,"Customers pay a visit to your retail store location some may be browsing, and some may be ready to buy You approach with confidence and a smile, and go to work, assessing their needs and concerns as you build a genuine relationship with them Every question that's raised is an opportunity for you to  ...","Alexandria, VA",Retail Sales Associate - Bilingual/Spanish PT
"T-MOBILE USA, Inc.",10/13/2016,Retail,"Retail Sales Associate Here's to the power of teamwork. When you join the MetroPCS ""dream team,"" you've got a group of talented, dedicated people behind you every step of the way. Because we believe that when one person succeeds, we all succeed. Here, you're more than a sales person. You're a custom ...","Washington, DC",M-Retail Sales Associate
Staffmark,10/13/2016,Retail,"Pay Rate/Salary $10.75 10.75 / Hour Staffmark currently has an opening for a talented individual to fill the role of Packer/Shipper in York, PA. As a Packer/Shipper, you will be responsible for supporting operations by preparing orders, preparing and cleaning work sites, maintaining work supplies an ...","York, PA",Packing/Shipping
Staffmark,10/13/2016,Retail,Pay Rate/Salary At least $9.00 / Hour Essential Duties and Resposibilities Process Shipping labels for placement on loose cases orders Prepares literature to ship in the most efficient way Confirms shipping labels for each order Checks orders processed for shipment confirmation Manages and processes ...,"York, PA",Parcel Processor
Staffmark,10/13/2016,Retail,"Pay Rate/Salary $9.50 10.00 / Hour Staffmark is currently seeking part time material handlers for our client in East York, PA. This is a 1st shift position 7am until work is done. The average is about 15 20 hours per week. This position is on the bus route. Job consists of sorting mail trays that we ...","York, PA",Part Time Material Handler
Verizon,10/13/2016,Retail,"Verizon Telematics sales group is expanding its distribution support model to include all VZW retail stores, Indirect locations and Mercedes Benz Dealerships. The role for this position will support the distribution of all Verizon Telematics products (Hum – 70%, NWF – 20% and OEM – ...","Baltimore, MD",Telematics Product Sales Acct Mgr-MD
